GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1132074998,20231009,202310,2023,2023.7644,CHN,BEIJING,CHN,,,,,,,,,,,,,,,,,,1,173,173,17,4,-5.0,2,1,2,-1.70068027210885,1,Germany,GM,GM,,51.5,10.5,GM,0,,,,,,,,4,"Jerusalem, Israel (general), Israel",IS,IS00,18315,31.7667,35.2333,-797092,20231009164500,https://www.tagesschau.de/ausland/asien/china-nakostkonflikt-100.html
1132014439,20231009,202310,2023,2023.7644,SYR,SYRIA,SYR,,,,,,,,UAF,FIGHTER,,,,,,UAF,,,1,190,190,19,4,-10.0,2,1,2,-5.41176470588235,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,4,"Ankara, Ankara, Turkey",TU,TU68,27516,39.9272,32.8644,-735338,20231009120000,https://www.tagesschau.de/ausland/europa/tuerkei-luftangriffe-nordsyrien-100.html
1132075905,20231009,202310,2023,2023.7644,UKR,UKRAINIAN,UKR,,,,,,,,GOV,MINISTRY,,,,,,GOV,,,1,010,010,01,1,0.0,8,1,8,-5.23560209424083,4,"Kherson, Khersons'ka Oblast', Ukraine",UP,UP08,28557,46.6558,32.6178,-1041356,4,"Kherson, Khersons'ka Oblast', Ukraine",UP,UP08,28557,46.6558,32.6178,-1041356,4,"Kherson, Khersons'ka Oblast', Ukraine",UP,UP08,28557,46.6558,32.6178,-1041356,20231009164500,https://www.tagesschau.de/ausland/europa/ukraine-israel-100.html
1132014454,20231009,202310,2023,2023.7644,UAF,TERRORIST,,,,,,UAF,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,-1.59489633173844,4,"Berlin, Berlin, Germany",GM,GM16,16538,52.5167,13.4,-1746443,0,,,,,,,,1,Israel,IS,IS,,31.5,34.75,IS,20231009120000,https://www.tagesschau.de/inland/innenpolitik/deutschland-hamas-kritik-jubelfeier-100.html
1132101498,20231009,202310,2023,2023.7644,PSE,GAZA,PSE,,,,,,,,,,,,,,,,,,0,020,020,02,1,3.0,10,1,10,-0.40567951318459,1,Germany,GM,GM,,51.5,10.5,GM,0,,,,,,,,1,Germany,GM,GM,,51.5,10.5,GM,20231009190000,https://www.tagesschau.de/ausland/europa/scholz-macron-kabinettsklausur-100.html
1132042606,20231009,202310,2023,2023.7644,FRAGOV,FRENCH,FRA,,,,,GOV,,,DEU,GERMAN,DEU,,,,,,,,0,051,051,05,1,3.4,6,1,6,-0.60975609756097,1,Germany,GM,GM,,51.5,10.5,GM,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,5850,50.8333,4.33333,-1955538,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,5850,50.8333,4.33333,-1955538,20231009143000,https://www.tagesschau.de/wirtschaft/energie/strommarktreform-eu-deutschland-frankreich-100.html
1131905881,20231009,202310,2023,2023.7644,IGOUNO,UNSC,,UNO,,,,IGO,,,,,,,,,,,,,1,173,173,17,4,-5.0,10,1,10,-4.64547677261613,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,0,,,,,,,,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,20231009001500,https://www.tagesschau.de/newsticker/liveblog-israel-gaza-montag-100.html
1132075930,20231009,202310,2023,2023.7644,UKR,UKRAINIAN,UKR,,,,,,,,UKRMED,UKRAINE,UKR,,,,,MED,,,0,040,040,04,1,1.0,2,1,2,-5.23560209424083,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,20231009164500,https://www.tagesschau.de/ausland/europa/ukraine-israel-100.html
1132147072,20231009,202310,2023,2023.7644,PSE,GAZA,PSE,,,,,,,,,,,,,,,,,,0,191,191,19,4,-9.5,10,1,10,-2.40549828178694,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,0,,,,,,,,1,Gaza Strip,GZ,GZ,,31.425074,34.373398,GZ,20231009234500,https://www.tagesschau.de/ausland/europa/eu-hilfszahlungen-palaestinenser-ueberpruefung-100.html
1132075940,20231009,202310,2023,2023.7644,UKRMED,UKRAINE,UKR,,,,,MED,,,UKR,UKRAINIAN,UKR,,,,,,,,0,040,040,04,1,1.0,2,1,2,-5.23560209424083,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,20231009164500,https://www.tagesschau.de/ausland/europa/ukraine-israel-100.html
